,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Country,Wind Speed,Date
288,mumford,5.26,-0.76,81.68,72,1,GH,4.85,1605948231
289,hay river,52.07,-3.13,51.01,89,100,GB,4.0,1605948231
290,monte patria,42.47,9.39,53.01,50,0,FR,19.46,1605948232
291,caohe,30.23,115.43,56.37,83,99,CN,6.85,1605948232
292,saint-pierre,-21.34,55.48,80.6,57,0,RE,16.11,1605948232
293,namikupa,-10.83,39.6,94.03,45,59,TZ,0.83,1605948232
294,asyut,27.18,31.18,68.65,41,0,EG,6.91,1605948125
295,chaman,30.92,66.45,52.74,36,0,PK,4.36,1605948233
296,talnakh,69.49,88.4,30.2,100,90,RU,35.79,1605948233
297,cam pha,-38.98,-67.82,62.6,45,0,AR,8.05,1605948233
298,solvychegodsk,61.33,46.92,33.13,91,80,RU,8.61,1605948233
299,dhidhdhoo,6.88,73.1,82.99,70,64,MV,5.46,1605948233
300,nola,40.92,14.53,55.99,58,96,IT,13.0,1605948234
301,kirovsk,48.64,38.64,28.0,98,96,UA,8.23,1605948234
302,haines junction,59.23,-135.44,21.2,73,90,US,11.41,1605948234
303,naze,28.37,129.48,71.6,73,40,JP,6.93,1605948234
304,dodge city,43.42,-88.7,30.0,79,1,US,5.79,1605948234
305,santander,43.46,-3.8,53.01,70,0,ES,8.05,1605948235
306,chuy,-33.7,-53.46,59.92,70,78,UY,2.1,1605948235
307,cabaiguan,22.08,-79.5,73.4,100,40,CU,10.29,1605948235
308,kintinku,-5.88,35.23,89.51,36,0,TZ,6.29,1605948236
309,ulagan,50.63,87.96,20.77,84,100,RU,0.2,1605948236
310,fairbanks,64.84,-147.72,6.01,75,20,US,4.68,1605947998
311,dzaoudzi,-12.79,45.27,87.8,66,75,YT,5.82,1605948236
312,sao benedito do rio preto,20.51,76.21,83.25,42,59,IN,4.65,1605948237
313,egvekinot,66.32,-179.17,19.62,95,99,RU,12.12,1605948237
314,richards bay,46.84,-95.91,23.0,85,90,US,3.36,1605948237
315,ulkan,57.24,107.32,20.61,93,100,RU,14.09,1605948237
316,kailua,21.4,-157.74,78.8,74,75,US,12.75,1605948013
317,puerto asis,36.59,-6.23,53.6,87,0,ES,6.93,1605948238
318,kharp,66.8,65.81,27.7,95,17,RU,12.08,1605948238
319,takoradi,4.88,-1.76,82.92,70,71,GH,3.6,1605948238
320,sawakin,19.11,37.33,84.06,67,27,SD,18.75,1605948238
321,dwarka,22.24,68.97,81.48,29,61,IN,11.86,1605948239
322,kavaratti,10.57,72.64,89.6,70,20,IN,4.7,1605948239
323,voi,-3.39,38.56,81.7,63,73,KE,8.57,1605948239
324,tiksi,71.69,128.87,-2.87,89,81,RU,7.34,1605948239
325,dondukovskaya,44.88,40.36,46.9,68,29,RU,4.54,1605948240
326,kununurra,-15.77,128.73,91.4,63,75,AU,5.82,1605948240
327,puerto colombia,36.59,-6.23,51.8,87,0,ES,6.93,1605948148
328,yumen,40.28,97.2,20.73,74,0,CN,11.16,1605948240
329,vila do maio,42.03,-8.16,57.99,87,0,PT,6.93,1605948187
330,suvorovskaya,44.19,42.65,39.2,93,75,RU,8.95,1605948241
331,leshukonskoye,64.9,45.76,31.41,97,100,RU,8.84,1605948241
332,sorland,67.67,12.69,35.6,93,75,NO,18.34,1605948241
333,bathsheba,13.22,-59.52,79.16,79,18,BB,22.15,1605948242
334,asfi,32.3,-9.24,66.78,80,35,MA,2.8,1605948242
335,ibimirim,-8.54,-37.69,75.87,71,58,BR,11.81,1605948242
336,rocha,-34.48,-54.33,52.39,91,13,UY,3.74,1605948242
337,tiznit,29.58,-9.5,66.94,28,0,MA,2.37,1605948242
338,ramtek,21.4,79.33,80.6,44,89,IN,4.7,1605948243
339,ussel,45.55,2.32,38.66,68,0,FR,5.01,1605948243
340,panama city,9.0,-80.0,77.0,100,91,PA,1.12,1605948181
341,ilulissat,69.22,-51.1,24.8,85,99,GL,8.05,1605948243
342,ritchie,-29.04,24.6,64.4,88,90,ZA,12.75,1605948243
343,codrington,-38.27,141.97,71.58,71,34,AU,5.17,1605948244
344,sao joao da barra,20.51,76.21,83.25,42,59,IN,4.65,1605948191
345,yarada,17.65,83.27,86.0,66,20,IN,10.29,1605948244
346,butembo,0.15,29.28,68.63,90,52,CD,3.44,1605948244
347,ingham,42.6,-84.38,37.4,88,1,US,5.82,1605948245
348,sortland,68.69,15.42,35.6,51,75,NO,29.97,1605948245
349,juneau,58.3,-134.42,30.99,92,90,US,6.93,1605948245
350,buraydah,26.33,43.98,82.4,37,40,SA,18.34,1605948245
351,teya,60.38,92.63,23.79,94,100,RU,10.63,1605948246
352,san patricio,13.3,-4.9,81.99,19,0,ML,8.84,1605948215
353,yakeshi,49.28,120.73,0.39,89,0,CN,8.28,1605948246
